GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
02195,0.08730111077754428,0.09391509727142769,0.006613986493883409,NA,NA,NA,NA,NA,NA,NA,NA,NA
02198,0.101353128561826,0.09829856126095857,-0.0030545673008674362,NA,NA,NA,NA,NA,NA,NA,NA,NA
02220,0.041666666666666664,0.07096384328734011,0.029297176620673444,NA,NA,NA,NA,NA,NA,NA,NA,NA
02230,0.09227337254106671,0.17709720372836218,0.08482383118729547,NA,NA,NA,NA,NA,NA,NA,NA,NA
02240,0.08975537435137139,0.08073572707682035,-0.00901964727455104,NA,NA,NA,NA,NA,NA,NA,NA,NA
02261,0.07539071288876581,0.08935528927442475,0.013964576385658942,NA,NA,NA,NA,NA,NA,NA,NA,NA
02275,0.07704454787234043,0.08830610490111779,0.011261557028777361,NA,NA,NA,NA,NA,NA,NA,NA,NA
02282,0.07559322033898304,0.09971098265895954,0.024117762319976505,NA,NA,NA,NA,NA,NA,NA,NA,NA
02290,0.1403282691264243,0.12058284013428858,-0.019745428992135716,NA,NA,NA,NA,NA,NA,NA,NA,NA
04001,0.09855276430965475,0.12950459814078794,0.030951833831133188,Arizona,Apache County,11442,23293,35183,-11851,0.32521388170423216,0.662052695904272,-0.3368388142000398
04003,0.05729199266040539,0.07091773801391484,0.013625745353509446,Arizona,Cochise County,35557,23732,60473,11825,0.5879814131926645,0.3924396011443123,0.1955418120483522
04005,0.05548560928695305,0.10050649713567138,0.04502088784871833,Arizona,Coconino County,27052,44698,73346,-17646,0.36882720257410084,0.6094129195866168,-0.24058571701251596
04007,0.054999000507434684,0.07707114564894707,0.022072145141512386,Arizona,Gila County,18377,8943,27678,9434,0.6639569333044295,0.32310860611315845,0.34084832719127106
04009,0.048426583865767,0.06532226261796849,0.016895678752201486,Arizona,Graham County,10749,4034,14996,6715,0.716791144305148,0.26900506801813817,0.44778607628700984
04011,0.03941813086524456,0.05415516489902658,0.014737034033782022,Arizona,Greenlee County,2433,1182,3688,1251,0.65970715835141,0.32049891540130154,0.3392082429501085
